  CFER       B3B8
  CFXBR      B39A
  CFXR       B3BA
  CG         E320
  CGDBR      B3A9
  CGDR       B3C9
  CGDTR      B3E1
  CGEBR      B3A8
  CGER       B3C8
  CGF        E330
  CGFR       B930
  CGH        E334
  CGHSI      E558
  CGIB       ECFC
  CGIBE      ECFC
  CGIBH      ECFC
  CGIBL      ECFC
  CGIBNE     ECFC
  CGIBNH     ECFC
  CGIBNL     ECFC
  CGIJ       EC7C
  CGIJE      EC7C
  CGIJH      EC7C
  CGIJL      EC7C
  CGIJNE     EC7C
  CGIJNH     EC7C
  CGIJNL     EC7C
  CGIT       EC70
  CGITE      EC70
  CGITH      EC70
  CGITL      EC70
  CGITNE     EC70
  CGITNH     EC70
  CGITNL     EC70
  CGR        B920
  CGRB       ECE4
  CGRBE      ECE4
  CGRBH      ECE4
  CGRBL      ECE4
  CGRBNE     ECE4
  CGRBNH     ECE4
  CGRBNL     ECE4
  CGRJ       EC64
  CGRJE      EC64
  CGRJH      EC64
  CGRJL      EC64
  CGRJNE     EC64
  CGRJNH     EC64
  CGRJNL     EC64
  CGRT       B960
  CGRTE      B960
  CGRTH      B960
  CGRTL      B960
  CGRTNE     B960
  CGRTNH     B960
  CGRTNL     B960
  CGXBR      B3AA
  CGXR       B3CA
  CGXTR      B3E9
  CH         49  
  CHHSI      E554
  CHSC       B25F
  CHSI       E55C
  CHY        E379
  CIB        ECFE
  CIBE       ECFE
  CIBH       ECFE
  CIBL       ECFE
  CIBNE      ECFE
  CIBNH      ECFE
  CIBNL      ECFE
  CIJ        EC7E
  CIJE       EC7E
  CIJH       EC7E
  CIJL       EC7E
  CIJNE      EC7E
  CIJNH      EC7E
  CIJNL      EC7E
  CIT        EC72
  CITE       EC72
  CITH       EC72
  CITL       EC72
  CITNE      EC72
  CITNH      EC72
  CITNL      EC72
  CKSM       B241
  CL         55  
  CLAC       B2DA
  CLC        D5  
  CLCL       0F  
  CLCLE      A9  
  CLCLU      EB8F
  CLFHSI     E55D
  CLFIT      EC73
  CLFITE     EC73
  CLFITH     EC73
  CLFITL     EC73
  CLFITNE    EC73
  CLFITNH    EC73
  CLFITNL    EC73
  CLG        E321
  CLGF       E331
  CLGFR      B931
  CLGHSI     E559
  CLGIB      ECFD
  CLGIBE     ECFD
  CLGIBH     ECFD
  CLGIBL     ECFD
  CLGIBNE    ECFD
  CLGIBNH    ECFD
  CLGIBNL    ECFD
  CLGIJ      EC7D
  CLGIJE     EC7D
  CLGIJH     EC7D
  CLGIJL     EC7D
  CLGIJNE    EC7D
  CLGIJNH    EC7D
  CLGIJNL    EC7D
  CLGIT      EC71
  CLGITE     EC71
  CLGITH     EC71
  CLGITL     EC71
  CLGITNE    EC71
  CLGITNH    EC71
  CLGITNL    EC71
  CLGR       B921
  CLGRB      ECE5
  CLGRBE     ECE5
  CLGRBH     ECE5
  CLGRBL     ECE5
  CLGRBNE    ECE5
  CLGRBNH    ECE5
  CLGRBNL    ECE5
  CLGRJ      EC65
  CLGRJE     EC65
  CLGRJH     EC65
  CLGRJL     EC65
  CLGRJNE    EC65
  CLGRJNH    EC65
  CLGRJNL    EC65
  CLGRT      B961
  CLGRTE     B961
  CLGRTH     B961
  CLGRTL     B961
  CLGRTNE    B961
  CLGRTNH    B961
  CLGRTNL    B961
  CLHHSI     E555
  CLI        95  
  CLIB       ECFF
  CLIBE      ECFF
  CLIBH      ECFF
  CLIBL      ECFF
  CLIBNE     ECFF
  CLIBNH     ECFF
  CLIBNL     ECFF
  CLIJ       EC7F
  CLIJE      EC7F
  CLIJH      EC7F
